session,cohort_key,structure,direction,market_state,eligible,eligibility_source,target_rr,target_source,cohort_base_enabled,config_path
outside,EURUSD|outside|choch_long,CHoCH,Long,Bear/Expand,YES,cohort_base,0.9,state_override,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_long,CHoCH,Long,Bull/Chop,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_long,CHoCH,Long,Bull/Compress,YES,cohort_base,0.5,state_override,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_long,CHoCH,Long,Bull/Expand,YES,cohort_base,0.5,state_override,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_short,CHoCH,Short,Bear/Chop,YES,cohort_base,1.0,state_override,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_short,CHoCH,Short,Bear/Compress,YES,cohort_base,1.25,state_override,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_short,CHoCH,Short,Bear/Expand,YES,cohort_base,1.5,state_override,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_short,CHoCH,Short,Bull/Chop,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_short,CHoCH,Short,Bull/Compress,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
outside,EURUSD|outside|choch_short,CHoCH,Short,Bull/Expand,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
