time,open,high,low,close,volume
2026-06-03 00:00:00+00:00,1.16209,1.16237,1.16203,1.16232,741.6
2026-06-03 00:15:00+00:00,1.16232,1.16272,1.16223,1.1627,585.0
2026-06-03 00:30:00+00:00,1.16272,1.16307,1.16268,1.16289,302.4
2026-06-03 00:45:00+00:00,1.16287,1.16292,1.16273,1.16285,417.6
2026-06-03 01:00:00+00:00,1.16287,1.16294,1.16261,1.16278,834.75
2026-06-03 01:15:00+00:00,1.16277,1.1631,1.16269,1.16305,416.7
2026-06-03 01:30:00+00:00,1.16305,1.16324,1.16284,1.16317,777.6
2026-06-03 01:45:00+00:00,1.16315,1.16335,1.16275,1.16294,551.25
2026-06-03 02:00:00+00:00,1.16294,1.16319,1.16292,1.16306,342.0
2026-06-03 02:15:00+00:00,1.16306,1.16308,1.16283,1.16285,330.75
2026-06-03 02:30:00+00:00,1.16286,1.16295,1.16271,1.1628,397.35
2026-06-03 02:45:00+00:00,1.16279,1.16284,1.16248,1.16279,612.4499999999999
2026-06-03 03:00:00+00:00,1.1628,1.16295,1.16273,1.16282,450.9
2026-06-03 03:15:00+00:00,1.16282,1.1629,1.16269,1.16269,256.05
2026-06-03 03:30:00+00:00,1.16269,1.16294,1.16263,1.16283,269.55
2026-06-03 03:45:00+00:00,1.16283,1.16288,1.16267,1.16275,216.0
2026-06-03 04:00:00+00:00,1.16276,1.1628,1.16254,1.16257,317.25
2026-06-03 04:15:00+00:00,1.16257,1.16263,1.16246,1.16246,312.3
2026-06-03 04:30:00+00:00,1.16247,1.16258,1.16245,1.16258,266.84999999999997
2026-06-03 04:45:00+00:00,1.16256,1.16259,1.16243,1.16255,248.85
2026-06-03 05:00:00+00:00,1.16253,1.16268,1.16245,1.16262,331.65
2026-06-03 05:15:00+00:00,1.16262,1.1627,1.16217,1.16221,534.6
2026-06-03 05:30:00+00:00,1.16223,1.1624,1.16212,1.16217,774.0
2026-06-03 05:45:00+00:00,1.16217,1.16231,1.16184,1.16186,673.65
2026-06-03 06:00:00+00:00,1.16185,1.16224,1.16143,1.16173,1300.5
2026-06-03 06:15:00+00:00,1.16173,1.16184,1.16122,1.1616,1161.0
2026-06-03 06:30:00+00:00,1.1616,1.16186,1.16134,1.16143,1163.7
2026-06-03 06:45:00+00:00,1.16143,1.16173,1.16131,1.16163,891.0
2026-06-03 07:00:00+00:00,1.16162,1.16207,1.16131,1.16182,1194.3
2026-06-03 07:15:00+00:00,1.16184,1.16197,1.16138,1.16138,682.58
2026-06-03 07:30:00+00:00,1.16137,1.16244,1.16128,1.16216,1997.3
2026-06-03 07:45:00+00:00,1.16218,1.16222,1.16157,1.16161,1113.3
2026-06-03 08:00:00+00:00,1.16161,1.16168,1.16119,1.16121,1332.86
2026-06-03 08:15:00+00:00,1.1612,1.16129,1.16096,1.1612,893.16
2026-06-03 08:30:00+00:00,1.1612,1.16153,1.16051,1.16061,1712.25
2026-06-03 08:45:00+00:00,1.16063,1.16104,1.16062,1.16079,924.73
2026-06-03 09:00:00+00:00,1.16081,1.16133,1.16077,1.16118,1019.25
2026-06-03 09:15:00+00:00,1.16118,1.16158,1.16108,1.16121,1025.32
2026-06-03 09:30:00+00:00,1.16121,1.16142,1.16095,1.16142,968.16
2026-06-03 09:45:00+00:00,1.1614,1.16154,1.16107,1.16133,936.97
2026-06-03 10:00:00+00:00,1.16136,1.16229,1.16127,1.16152,2318.84
2026-06-03 10:15:00+00:00,1.16152,1.16159,1.16133,1.16153,813.6
2026-06-03 10:30:00+00:00,1.16152,1.16177,1.16144,1.16165,773.1
2026-06-03 10:45:00+00:00,1.16167,1.1617,1.16145,1.16161,799.65
2026-06-03 11:00:00+00:00,1.16164,1.16188,1.16153,1.16182,765.0
2026-06-03 11:15:00+00:00,1.16181,1.16202,1.16172,1.16201,726.3
2026-06-03 11:30:00+00:00,1.16202,1.16208,1.16177,1.1618,525.15
2026-06-03 11:45:00+00:00,1.16178,1.16225,1.16163,1.16177,1075.95
2026-06-03 12:00:00+00:00,1.16178,1.16184,1.16123,1.16138,1422.67
2026-06-03 12:15:00+00:00,1.16137,1.16141,1.16068,1.16069,1198.34
2026-06-03 12:30:00+00:00,1.16068,1.16069,1.15964,1.16052,1925.1
2026-06-03 12:45:00+00:00,1.16052,1.16053,1.15974,1.16004,1291.5
2026-06-03 13:00:00+00:00,1.16006,1.16035,1.15989,1.16014,1499.17
2026-06-03 13:15:00+00:00,1.16015,1.16047,1.15972,1.16039,1697.4
2026-06-03 13:30:00+00:00,1.16041,1.16062,1.16022,1.16028,2171.92
2026-06-03 13:45:00+00:00,1.16027,1.16047,1.15987,1.1603,2419.54
2026-06-03 14:00:00+00:00,1.16026,1.16085,1.15999,1.16064,2379.59
2026-06-03 14:15:00+00:00,1.16063,1.16076,1.15994,1.16036,2310.29
2026-06-03 14:30:00+00:00,1.16036,1.16043,1.1596,1.15962,2080.79
2026-06-03 14:45:00+00:00,1.15961,1.16122,1.15947,1.1612,3896.02
2026-06-03 15:00:00+00:00,1.16121,1.16129,1.16024,1.1607,2416.11
2026-06-03 15:15:00+00:00,1.16069,1.16113,1.16051,1.16073,2288.92
2026-06-03 15:30:00+00:00,1.16072,1.16103,1.16041,1.16063,1441.79
2026-06-03 15:45:00+00:00,1.16064,1.16075,1.16041,1.16047,1155.15
2026-06-03 16:00:00+00:00,1.16049,1.16049,1.15971,1.15982,1547.35
2026-06-03 16:15:00+00:00,1.15982,1.16002,1.15956,1.15994,1231.41
2026-06-03 16:30:00+00:00,1.15994,1.16001,1.1595,1.15962,1170.45
2026-06-03 16:45:00+00:00,1.15962,1.16016,1.15956,1.16,1365.29
2026-06-03 17:00:00+00:00,1.16002,1.16035,1.15981,1.16003,1060.42
2026-06-03 17:15:00+00:00,1.16002,1.16005,1.15971,1.15972,606.6
2026-06-03 17:30:00+00:00,1.15971,1.15997,1.15969,1.15981,262.8
2026-06-03 17:45:00+00:00,1.15981,1.15993,1.15967,1.15984,527.85
