ob_id,direction,structure_tag,origin_time,detection_time,pivot_time,pivot_index,origin_index,detection_index,top,bottom,break_level,swing_length,ob_filter,origin_open,origin_high,origin_low,origin_close,parsed_high,parsed_low,width_pips,ob_origin_news_window,ob_detection_news_window,ob_origin_news_event,ob_detection_news_event,ob_origin_news_currency,ob_detection_news_currency,ob_origin_news_impact,ob_detection_news_impact,ob_origin_news_event_time,ob_detection_news_event_time,ob_origin_news_window_start,ob_origin_news_window_end,ob_detection_news_window_start,ob_detection_news_window_end,ob_origin_minutes_from_news,ob_detection_minutes_from_news,width
11,bullish,CHoCH,2015-01-19 08:00:00+00:00,2015-01-19 09:00:00+00:00,2015-01-16 20:00:00+00:00,1049,1097,1101,1.15752,1.15514,1.15892,50,Atr,1.1559,1.15752,1.15514,1.15752,1.15752,1.15514,23.800000000000487,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606820.0,-2606760.0,0.0023800000000000487
12,bearish,CHoCH,2015-01-19 15:30:00+00:00,2015-01-20 17:30:00+00:00,2015-01-19 08:00:00+00:00,1097,1127,1231,1.16388,1.16256,1.15514,50,Atr,1.16259,1.16388,1.16256,1.1634,1.16388,1.16256,13.199999999999878,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606370.0,-2604810.0,0.0013199999999999878
13,bullish,CHoCH,2015-01-20 19:30:00+00:00,2015-01-21 14:45:00+00:00,2015-01-19 15:30:00+00:00,1127,1239,1316,1.15525,1.15405,1.16388,50,Atr,1.15439,1.15525,1.15405,1.15506,1.15525,1.15405,12.000000000000899,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2604690.0,-2603535.0,0.0012000000000000899
14,bearish,CHoCH,2015-01-22 11:45:00+00:00,2015-01-22 14:00:00+00:00,2015-01-21 18:00:00+00:00,1329,1400,1409,1.16443,1.16251,1.15621,50,Atr,1.16281,1.16443,1.16251,1.16267,1.16443,1.16251,19.200000000001438,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2602275.0,-2602140.0,0.0019200000000001438
15,bullish,CHoCH,2015-01-27 06:30:00+00:00,2015-01-27 08:30:00+00:00,2015-01-26 17:00:00+00:00,1613,1667,1675,1.12355,1.12237,1.12954,50,Atr,1.12289,1.12355,1.12237,1.12321,1.12355,1.12237,11.799999999999589,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2595390.0,-2595270.0,0.0011799999999999589
16,bearish,CHoCH,2015-02-02 19:00:00+00:00,2015-02-03 05:15:00+00:00,2015-02-02 16:00:00+00:00,2089,2101,2142,1.13551,1.13389,1.1324,50,Atr,1.13412,1.13551,1.13389,1.13481,1.13551,1.13389,16.199999999999548,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2586000.0,-2585385.0,0.0016199999999999548
17,bullish,CHoCH,2015-02-03 09:00:00+00:00,2015-02-03 13:00:00+00:00,2015-02-02 19:00:00+00:00,2101,2157,2173,1.13282,1.13124,1.13551,50,Atr,1.13244,1.13282,1.13124,1.13254,1.13282,1.13124,15.799999999999148,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2585160.0,-2584920.0,0.0015799999999999148
18,bearish,CHoCH,2015-02-03 19:15:00+00:00,2015-02-04 23:15:00+00:00,2015-02-03 09:00:00+00:00,2157,2198,2310,1.14995,1.14879,1.13124,50,Atr,1.14901,1.14995,1.14879,1.14955,1.14995,1.14879,11.600000000000499,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2584545.0,-2582865.0,0.0011600000000000499
19,bearish,BOS,2015-02-09 08:30:00+00:00,2015-02-09 12:30:00+00:00,2015-02-08 22:00:00+00:00,2497,2539,2555,1.13595,1.13451,1.12953,50,Atr,1.1353,1.13595,1.13451,1.13463,1.13595,1.13451,14.400000000001079,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2576550.0,-2576310.0,0.0014400000000001079
20,bearish,BOS,2015-02-11 02:15:00+00:00,2015-02-11 17:15:00+00:00,2015-02-10 12:45:00+00:00,2652,2706,2766,1.13312,1.13254,1.12819,50,Atr,1.13273,1.13312,1.13254,1.13297,1.13312,1.13254,5.799999999998029,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2574045.0,-2573145.0,0.0005799999999998029
