time,currency,impact,event,window_start,window_end,source,country
2020-04-06T21:42:00,USD,high,President Trump Speaks,2020-04-06T21:39:00,2020-04-06T21:45:00,forexfactory,US
2020-04-07T21:42:00,USD,high,President Trump Speaks,2020-04-07T21:39:00,2020-04-07T21:45:00,forexfactory,US
2020-04-08T21:46:00,USD,high,President Trump Speaks,2020-04-08T21:43:00,2020-04-08T21:49:00,forexfactory,US
2020-04-09T11:30:00,EUR,high,ECB Monetary Policy Meeting Accounts,2020-04-09T11:27:00,2020-04-09T11:33:00,forexfactory,EZ
2020-04-09T12:30:00,USD,high,Fed Announcement,2020-04-09T12:27:00,2020-04-09T12:33:00,forexfactory,US
2020-04-09T12:30:00,USD,high,Unemployment Claims,2020-04-09T12:27:00,2020-04-09T12:33:00,forexfactory,US
2020-04-09T14:00:00,USD,high,Fed Chairman Powell Speaks,2020-04-09T13:57:00,2020-04-09T14:03:00,forexfactory,US
2020-04-09T22:24:00,USD,high,President Trump Speaks,2020-04-09T22:21:00,2020-04-09T22:27:00,forexfactory,US
2020-04-10T12:30:00,USD,high,CPI m/m,2020-04-10T12:27:00,2020-04-10T12:33:00,forexfactory,US
2020-04-10T12:30:00,USD,high,CPI y/y,2020-04-10T12:27:00,2020-04-10T12:33:00,forexfactory,US
2020-04-10T12:30:00,USD,high,Core CPI m/m,2020-04-10T12:27:00,2020-04-10T12:33:00,forexfactory,US
2020-04-10T18:00:00,USD,high,President Trump Speaks,2020-04-10T17:57:00,2020-04-10T18:03:00,forexfactory,US
2020-04-13T21:49:00,USD,high,President Trump Speaks,2020-04-13T21:46:00,2020-04-13T21:52:00,forexfactory,US
2020-04-14T22:15:00,USD,high,President Trump Speaks,2020-04-14T22:12:00,2020-04-14T22:18:00,forexfactory,US
2020-04-15T12:30:00,USD,high,Core Retail Sales m/m,2020-04-15T12:27:00,2020-04-15T12:33:00,forexfactory,US
2020-04-15T12:30:00,USD,high,Retail Sales m/m,2020-04-15T12:27:00,2020-04-15T12:33:00,forexfactory,US
2020-04-15T21:50:00,USD,high,President Trump Speaks,2020-04-15T21:47:00,2020-04-15T21:53:00,forexfactory,US
2020-04-16T12:30:00,USD,high,Unemployment Claims,2020-04-16T12:27:00,2020-04-16T12:33:00,forexfactory,US
2020-04-16T22:08:00,USD,high,President Trump Speaks,2020-04-16T22:05:00,2020-04-16T22:11:00,forexfactory,US
2020-04-17T22:00:00,USD,high,President Trump Speaks,2020-04-17T21:57:00,2020-04-17T22:03:00,forexfactory,US
2020-04-18T22:00:00,USD,high,President Trump Speaks,2020-04-18T21:57:00,2020-04-18T22:03:00,forexfactory,US
2020-04-19T22:25:00,USD,high,President Trump Speaks,2020-04-19T22:22:00,2020-04-19T22:28:00,forexfactory,US
2020-04-20T21:40:00,USD,high,President Trump Speaks,2020-04-20T21:37:00,2020-04-20T21:43:00,forexfactory,US
2020-04-21T21:46:00,USD,high,President Trump Speaks,2020-04-21T21:43:00,2020-04-21T21:49:00,forexfactory,US
2020-04-22T22:11:00,USD,high,President Trump Speaks,2020-04-22T22:08:00,2020-04-22T22:14:00,forexfactory,US
2020-04-23T07:15:00,EUR,high,French Flash Services PMI,2020-04-23T07:12:00,2020-04-23T07:18:00,forexfactory,FR
2020-04-23T07:30:00,EUR,high,German Flash Manufacturing PMI,2020-04-23T07:27:00,2020-04-23T07:33:00,forexfactory,GE
2020-04-23T07:30:00,EUR,high,German Flash Services PMI,2020-04-23T07:27:00,2020-04-23T07:33:00,forexfactory,GE
2020-04-23T12:30:00,USD,high,Unemployment Claims,2020-04-23T12:27:00,2020-04-23T12:33:00,forexfactory,US
